tweet,created_at,likes,retweets
apple started testing an app to help people with prediabetes manage their food intake and make lifestyle changes as part of a larger interest in blood sugarrelated health products bloomberg,10/25/2024 17:06,91,13
apple staff tests bloodsugar app in sign of health ambitions,10/25/2024 16:53,21,3
has once again surpassed to become the worlds most valuable company,10/25/2024 16:17,24,5
nvda aapl nvidia overtakes apple to become worlds most valuable company,10/25/2024 15:52,37,3
just passed as the most valuable company,10/25/2024 15:50,22,2
nvidia overtakes apple to become worlds most valuable company apple to become worlds most valuable company,10/25/2024 15:50,19,1
nvidia overtakes apple to become worlds most valuable company,10/25/2024 15:49,28,6
highs clearing 233 now continues to stay strong in the face of downgrades or neg sentiment earnings should be interesting next week,10/25/2024 15:02,18,1
msft pumping hard at the open on the bitcoin news 3x harder than aapl board cant ignore this shareholders cant ignore this 2nd biggest shareholder is blackrock even if they werent secretly behind this urging they cannot ignore the value creation just the idea has had,10/25/2024 13:43,509,50
apple falls as china iphone sales slip shares of iphone maker apple fall 086 to 59 premarket iphone sales in china slip 03 in q3 data from researcher idc shows apple comes in second in china with a 156 market share followed by huawei with 153,10/25/2024 12:04,111,36
once you get past the fear of losing a trade or trades trading becomes significantly less stressful please read book book has a ton of gems in it exercises that you can apply to improve your trading es_f nq_f,10/25/2024 11:49,15,2
nobody believed you could order anything you want and be delivered within 24 hours in 2000 nobody believed we would have buttonless handheld computers in our pockets 247 in 2007 nobody believed we wouldnt need dvds anymore to watch movies in 2005 nobody,10/25/2024 11:48,186,16
completely overslept drank far too much at a friends restaurant opening last night so no rns summary earlier from me todayon a side note i do not recommend going to the store on regent st w a hangoverutter hell,10/25/2024 11:42,17,0
3q china smartphone market rankings vivo apple huawei xiaomi honor we said that may have just had a lull in 2q as consumers put on hold purchases while awaiting the release of the new iphone16 but if only 03 market share separates apple and huawei with the latter,10/25/2024 10:43,18,1
apple supplier jabil eyes two more india units with investment,10/25/2024 10:37,56,10
apple shares down 12 premarket after q3 china smartphone sales decline,10/25/2024 10:22,98,16
keybanc downgrades apple to underweight from sector weight pt,10/25/2024 10:22,53,9
good morning futures up q3 china phone sales dip 03 hauwei up 42 dg underweight keybanc pt 200 pt raised from evercore pt raised from piper pt cut from piper,10/25/2024 9:53,38,6
keybanc downgrades to underweight from sector weight sets pt at keybanc downgrade is driven by 1 consumer survey challenges bull case for iphone se survey shows that 59 of respondents are interested in upgrading to the iphone 16 which seems strong however,10/25/2024 8:23,27,8
shares in premarket trading on reports of weak sales in china we have been steadily shorting apple over the last few weeks sell dont hold now up on com,10/25/2024 8:23,21,3
should i turn up the heat on here lets see,10/25/2024 3:16,28,0
just posted 12 bangers for yall i will be back for more tomorrow along with commentary but lets see those first,10/25/2024 0:36,21,0
aapl downgraded to 200 keep on watch 227 level tomorrow they love to do this crap before earnings to steal shares,10/25/2024 0:35,105,6
keybanc making a big call tonite on apple downgrading we are downgrading aapl to underweight and establishing a pt,10/24/2024 23:57,34,7
18 away from aths 104 away from aths 82 away from aths 64 away from aths 3 away from aths 3 away from aths googl time anyone,10/24/2024 23:46,858,46
unpopular opinion should trade at closer to s valuation at a pe of around 35 and aapl should trade closer to pypls valuation of around 20 i think paypals earnings growth will dwarf apples and they should be trading at a higher multiple,10/24/2024 23:39,106,5
1 tim cook went on cnbc and mentioned that he personally holds bitcoin should bitcoin adoption go to a shareholder vote it wont be so easy for to recommend against 2 as has mentioned zuck is a bitcoin bull and has majority voting rights of game,10/24/2024 22:27,710,58
small account starter pack cash account to avoid pdt keep losses small let runners run read trading in the zone learn 13 tickers look to execute good trades not make money start with only one contract journal your trades,10/24/2024 22:06,92,8
as microsoft is considering bitcoin then you can be sure that all major tech companies will also soon if they are not already,10/24/2024 21:20,239,17
2 of the great 8 cos have reported so far earnings day performance 11 22 up next 1029 1030 1030 1031 1031 1121,10/24/2024 21:11,24,5
next week is the super bowl with amp reporting,10/24/2024 21:06,44,2
by investing in an sampp 500 index fund youre investing 25 in apple 55 in microsoft 12 in nvidia 63 in google 56 in amazon 56 in meta 73 in berkshire hathaway b 49 in tesla and 11 into 492 of,10/24/2024 19:00,152,26
requesting payout 12 from end of trading day thanks you guys have been the best es_f nq_f,10/24/2024 18:55,24,0
peeking at the calendar for next week a boat load of tech earnings plus jobs report and pce index,10/24/2024 16:33,28,1
apple marketing head announces plans to update macs next week,10/24/2024 16:32,119,11
all three major us wireless carriers saw declines in phone upgrade rate during the third quarter versus the prior year but ai they said,10/24/2024 14:40,21,6
red red just sunk red up theee 3 companies are nearly 30 of the entire us gdp welcome to the stock market,10/24/2024 14:24,24,1
i have a monster bear setup is ready to nuke down the entire market i think its my favorite bear setup out of the entire market honestly,10/24/2024 6:57,26,3
just posted 7 bangers for yall i will be back for more tomorrow along with commentary but lets see those first,10/24/2024 1:27,26,0
what will be the next product rabbit tim crook is going to take out from the,10/24/2024 1:01,30,4
10 companies people use on a regular basis,10/23/2024 22:51,52,5
is visual intelligence for all apple intelligence devices or just iphone 16 series,10/23/2024 22:46,24,0
sampp 50 companies and their 5year return 1 290 2 255 3 100 4 80 5 450 6 100 7 b 65 8 800 9 70 10 60 11 120 12 45 13,10/23/2024 22:07,17,1
