date,text
2024-11-04 17:37,know musk choose random numbers quarterly financial statements lol
2024-11-04 16:47,think stock drop harris wins election elections
2024-11-04 16:35,update drops wednesday
2024-11-04 16:33,hits next week everyone gets blueberry muffin
2024-11-04 16:17,area right good one sell puts buy calls sell puts go heavy want may drop hard recover hard drops 248
2024-11-04 16:09,close right opened indecision candle day going tomorrow opened 244 54 almost amount normal considering max uncertainty bears
2024-11-04 15:52,rather powerful 10 point reversal lows
2024-11-04 15:51,fsd generalised autonomous driving solution situation road using neural networks waymo driver autonomous driving service operate pre mapped roads using lidar apparently ev experts still understand
2024-11-04 15:48,assuming average commute 30 minutes way 2 billion people commuting globally humanity loses roughly 2 billion hours productivity every single day makes full self driving fsd technology incredibly important
2024-11-04 15:46,vix quite bit lower higher higher hell like market decided harris election
2024-11-04 15:41,3 244 support level tsla see 258 week theres positive reaction election fomc
2024-11-04 15:36,back miss 4 successful plays calls bottom good back
2024-11-04 15:35,regulatory issue nuclear facility amazon putting pressure nuclear stocks something forecasted brief discussion friend used portfolio manager thinks regulatory hurdles harder
2024-11-04 15:29,tomorrow night like earnings report others trading names gambling ok fun heavy size binary events noobs win one feel like genius blow next time risk management
2024-11-04 15:20,fake breakdown tease bears gap fill
2024-11-04 15:09,dip bought today 238 hold 244 see 250 252 leading fomc wednesday calls work 244 dip bought 5700 5767 important level reclaim set another 60 80 pt pop higher fomc held 563 far
2024-11-04 15:09,think least 1 low lt 239 morning made possibly 2 lows 2nd one guaranteed invalidation 250 trades first
2024-11-04 15:03,5 point bounce lows 13k nov 267 5 calls bought
2024-11-04 14:58,making list harris stocks trump stocks trump harris give picks
2024-11-04 14:55,feels like selling exhaustion low 25 minutes
2024-11-04 14:40,afraid short 270 afraid buy 240 way
2024-11-04 14:10,would react donald trump wins would react kamala harris wins
2024-11-04 13:26,market pricing kamala win solar stocks oil pumping red red
2024-11-04 13:18,tesla sold 68 280 china made evs october 5 3 yoy according data china passenger car association cpca reuters
2024-11-04 13:11,economic events amp premarket buzz 10 00 factory orders sep expected 0 5 prior 0 2 premarket movers higher lower earnings today premarket post market
2024-11-04 12:40,auto cost per vehicle perspective q3 benefited high china sales total sales ratio knew also 10 catl cost cut know first one revert q4 second one carry forward
2024-11-04 11:58,investors realizing election musk either sell shares trump go jail harris
2024-11-04 11:07,come going ugly day
2024-11-04 10:57,good morning futures flat joining dow skid 68 280 china mad ev october 5 3 yoy positive results vk2735 weight loss trial u g overweight ms pt pt cut 2 needham u g buy jefferies pt
2024-11-04 10:45,mag 7 upside 7 tesla target price upside 0 6 apple target price upside 11 5 nvidia target price upside 14 4 meta target price upside 16 3 amazon target price upside 20 2 microsoft
2024-11-04 09:45,bizarre bulls feel need attack fellow tsla bulls spend time energy attacking dumb enough short tsla longs sports team thrown
2024-11-04 08:04,good morning investors wait election
2024-11-04 05:33,like investing 1999 tech long way go
2024-11-04 05:32,market news tesla tsla opening first store philippines week
2024-11-04 03:02,next week massive elections tuesday fomc thursday market go wild
2024-11-04 02:44,trade ideas tomorrow calls puts calls puts calls puts calls puts good luck amp always trade safe follow
2024-11-04 02:11,watchlist week strong themes software 57 71 3 765 76 nuclear 8 ema 8 ema semis 74 5 85 aerospace strength 254 8
2024-11-04 02:08,posted 15 bangers yall back tomorrow along commentary let see first
2024-11-04 00:25,trump wins hit 11 10 least end next year
2024-11-04 00:16,trump loses might see repeat crash nov 3 2022 jan 3 2023
2024-11-04 00:15,weekly watchlist beware elections week lots ers expect potential chop volatile moves c gt 576 p lt 565 c gt 201 5 p lt 197 c lt 773 p gt 735 c gt 260 p lt 242 like tweet ready bank
2024-11-03 23:01,play election keep simple trump wins harris wins
2024-11-03 22:46,someone told years ago many prominent tesla twitter influencers would turn maga would told person losing mind yet orange man savior make lol nothing entertaining
2024-11-03 22:36,happy sunday fam hope enjoyed weekend start posting bangers charts hours
2024-11-03 22:22,stocks looking sell cash secured puts week sub sub sub sub sub sub sub sub sub sub big red days look load stocks
2024-11-03 21:14,next week _________________
2024-11-03 21:08,nuts rip peanut fred vote want get back usual feed beautiful teslas fsd dogs things make laugh point changing anyone mind love matter vote kamala trump use
2024-11-03 21:08,wins presidency easiest logical play stock market djt win tesla becomes valuable company world next 4 years bookmark
2024-11-03 20:39,weekly list calls gt 575 56 gap puts lt 569 23 mega gulag calls gt 103 puts lt 100 calls gt 250 puts lt 242 97 puts lt 197 bezos selling calls gt 83 37 puts lt 49 50 calls gt 52 68 calls gt 76 04 election jpoww week everything prob changes
2024-11-03 19:36,glad focusing margins sales volume let onvo firefly sell volume nio focuses margins let forget called high end evs model x account 3 total sales combined
2024-11-03 18:03,working legs today working
2024-11-03 18:00,top 6 stocks trade options
2024-11-03 17:46,listen podcasts spotify watch video listen audio let know thoughts detail best position live
2024-11-03 17:20,predictions 1 hit share fueled widespread adoption robotaxi network 2 scale company within next decade 3 reach valuation next 10 years
2024-11-03 16:59,wordle 1 233 4 6 lord day
2024-11-03 16:52,every single mag 7 stock charted analysis please like rt share help others thread
2024-11-03 14:00,watch brighter herbert discussing tesla shifted neutral bearish trend 2021 early year starting emerge bullish uptrend says newton latest conversation ong get daily technical
2024-11-03 13:09,levels add top 10 positions market pulls back 1 2 3 4 5 6 7 8 9 10
2024-11-03 10:03,tesla shareholders far negative happens stock elon democrats kamala harris win election historically democratic administrations good stock markets therefore also shareholders tesla administration
2024-11-03 09:43,next week week stock _______ next week
2024-11-03 09:37,magnificent 7 think undervalued check projected pe 2026 alphabet 16 8x meta 19 7x microsoft 22 9x amazon 26 7x apple 27 0x nvidia 30 0x tesla 66 4x
2024-11-03 09:11,unpopular opinion bitcoin amp tesla fine even kamala win election
2024-11-03 07:40,good morning investors ready see stock next week
2024-11-03 03:43,tonight one eat everything sight especially halloween candies chips nuts chocolates kind nights
2024-11-03 03:24,2 us elections loses could happen chances price cut half maybe within q1 2025 elon could deported worse theranos kind outcome possible 10 chance investors would lose
2024-11-03 01:19,disillusioned fools calling best ai play wtf elon karp building largest ai clusters robots amp cars ever thought morons
2024-11-03 00:16,nvidia reportedly discussing investing xai ai startup elon musk tesla per nyp
2024-11-02 21:50,last client told two years ex husband accused cheating got tired accusations affair told believe
2024-11-02 21:11,one truly worried harris win would lead elon actually getting arrested deported wtv maybe bigger concerns investment
2024-11-02 20:56,wants swing setups
2024-11-02 18:30,sk hynix reportedly discussions supply enterprise ssds tesla worth tesla invests ai servers build ai infrastructure autonomous driving robotics
2024-11-02 17:57,let talk calls bought yesterday sept next year strike trading
2024-11-02 17:00,likes moon people least expect
2024-11-02 16:51,focus list current positions
2024-11-02 16:43,trump wins run faster blink
2024-11-02 16:29,5 stocks planning buy next week microsoft tesla amd sofi hims planning buy something
2024-11-02 15:29,solving fsd unsupervised move stock ath think alone cause surge
2024-11-02 15:21,big money made buying selling waiting charlie munger best investors really good nothing patience conviction
2024-11-02 13:44,outside big two day earnings pop name 10 last 12 days lol nearing close 50 retracement level lows highs 12 days trump win certainly send name higher hold breath week next tesla
2024-11-02 13:27,total passive income last week 10 28 11 1 closed positions options selling 00 best week pullback created opportunities november include dividends day trades shares sold
2024-11-02 12:54,wl fl curious else shows earnings well based scans pretty negative near term change fast
2024-11-02 12:29,3 4 cup 0 fat plain greek yogurt 1 scoop protein power chocolate banana fav water 1 tablespoon cacao nibs yields 300 calories 45 g protein 6 g fibre breakfast champions
2024-11-02 12:15,shareholder sell kamala wins sense elon non stop attack affect tesla one way know grand scheme things big deal make stock lot volatile
2024-11-02 11:07,market corrects end year group would buy first correction completes group group b group c b group group e silver
2024-11-02 07:48,next week one interesting weeks stocks long short
2024-11-02 07:33,good morning investors keep dollar cost averaging
2024-11-02 01:31,trump loses low go next 6 months
2024-11-02 01:13,wheelupdate roth ira account optionselling since 2023 roth account source experimentation due incurred several losses etc previous drawdowns since last 3 4 months took cautious approach went largely
2024-11-02 01:12,great weekend fam got nice stuff post weekend keep notifications
2024-11-02 01:00,got csps assigned 250 tesla position biggest ever hundred shares lmao writing next week also 275 277 5s next week 20 contracts 16 5 interest start making videos
2024-11-01 23:56,story maria 30s never married dating meets justin date 5 months amp everything going great thought would man finally marries last month comes get hair done obviously
2024-11-01 23:35,tsla tesla sells debt backed solar equipment loans tesla inc sold million bonds backed loans offered customers buying solar equipment
2024-11-01 22:45,expect rise least 20 next 10 days
2024-11-01 22:44,pizza amp client story tonight
2024-11-01 22:15,1nov 24 allocations 25 6 18 9 18 6 14 3 6 9 6 9 4 4 1 2 cash 4 2 ytd 59 7 ytd hi 72 6 25oct ytd lo 3 8 3jan cagr 33 5 7 84 yrs since 1 1 17 changes 1 5
2024-11-01 22:11,think tesla ever part dow jones
2024-11-01 22:03,summary 11 01 2024 upside 1 ev adoption 20 25 per yr 2 fed cuts rate another 50bp e 3 higher fsd take rates licensing deal 4 25k compact launch fy 25 1h 5 tsla likely first market generalized unsupervised fsd fy 25 ye 6 optimus production
2024-11-01 21:53,1 week worst performing mag7 2 weeks tsla best performing mag7
2024-11-01 20:49,took couple days social media thoughts going next week ripple effect felt throughout semiconductor sector group represents heavy part nasdaq 100 earnings winners ie hard time
2024-11-01 20:42,judge pa lottery case issues tro would remotely surprised see musk charged criminally next week case
2024-11-01 20:18,mega caps earnings last two weeks closed 50 closed 200 death cross pumped dumped still holding okay nice gap still close closed 20 ema gave back majority
2024-11-01 20:12,todays trades closed 1 cc 50 5 ccs 2 csps 1 spread 1 cc 1 cc profit sold 3 csps 11 8 1 csp 11 15 rolled 2 csps 11 8 next week gonna wild
2024-11-01 20:00,long term investor days like today add position confidently expectations grateful 5 years invest companies changing world ai tesla palantir
2024-11-01 19:53,stock super short run basically proxy trump odds winning imo
2024-11-01 19:13,kamala harris defeats psychotic shitstain becomes america first woman president think see one greatest economic booms u history kudos president biden priming engine lfg
2024-11-01 17:51,focused leaders whole time way indices green seeing ugly action recent leaders today
