tweet,created_at,likes,retweets
apple started testing app help people prediabetes manage food intake make lifestyle changes part larger interest blood sugarrelated health products bloomberg,10/25/2024 17:06,91,13
surpassed become worlds valuable company,10/25/2024 16:17,24,5
nvda aapl nvidia overtakes apple become worlds valuable company,10/25/2024 15:52,37,3
passed valuable company,10/25/2024 15:50,22,2
nvidia overtakes apple become worlds valuable company apple become worlds valuable company,10/25/2024 15:50,19,1
highs clearing continues stay strong face downgrades neg sentiment earnings interesting next week,10/25/2024 15:02,18,1
msft pumping hard open news x harder aapl board cant ignore shareholders cant ignore nd biggest shareholder blackrock even werent secretly behind urging cannot ignore value creation idea,10/25/2024 13:43,509,50
apple falls china iphone sales slip shares iphone maker apple fall premarket iphone sales china slip q data researcher idc shows apple comes second china market share followed huawei,10/25/2024 12:04,111,36
get past fear losing trade trades trading becomes significantly less stressful please read book book ton gems exercises apply improve trading,10/25/2024 11:49,15,2
nobody believed could order anything want delivered within hours nobody believed would buttonless handheld computers pockets nobody believed wouldnt need dvds anymore watch movies nobody,10/25/2024 11:48,186,16
completely overslept drank far much friends restaurant opening last night rns summary earlier todayon side note recommend going store regent st w hangoverutter hell,10/25/2024 11:42,17,0
q china smartphone market rankings vivo apple huawei xiaomi honor said may lull q consumers put hold purchases awaiting release new market share separates apple huawei latter,10/25/2024 10:43,18,1
keybanc downgrades apple underweight sector weight pt,10/25/2024 10:22,53,9
good morning futures q china phone sales dip hauwei dg underweight keybanc pt pt raised evercore pt raised piper pt cut piper,10/25/2024 9:53,38,6
keybanc downgrades underweight sector weight sets pt keybanc downgrade driven consumer survey challenges bull case iphone se survey shows respondents interested upgrading iphone seems strong however,10/25/2024 8:23,27,8
shares premarket trading reports weak sales china steadily shorting apple last weeks sell dont hold com,10/25/2024 8:23,21,3
turn heat lets see,10/25/2024 3:16,28,0
posted bangers yall back tomorrow along commentary lets see first,10/25/2024 0:36,21,0
aapl downgraded keep watch level tomorrow love crap earnings steal shares,10/25/2024 0:35,105,6
keybanc making big call tonite apple downgrading downgrading aapl underweight establishing pt,10/24/2024 23:57,34,7
away aths away aths away aths away aths away aths away aths googl time anyone,10/24/2024 23:46,858,46
unpopular opinion trade closer valuation pe around aapl trade closer pypls valuation around think paypals earnings growth dwarf apples trading higher multiple,10/24/2024 23:39,106,5
tim cook went cnbc mentioned personally holds bitcoin bitcoin adoption go shareholder vote wont easy recommend mentioned zuck bitcoin bull majority voting rights game,10/24/2024 22:27,710,58
small account starter pack cash account avoid pdt keep losses small let runners run read trading zone learn tickers look execute good trades make money start one contract journal trades,10/24/2024 22:06,92,8
microsoft considering bitcoin sure major tech companies also soon already,10/24/2024 21:20,239,17
great cos reported far earnings day performance next,10/24/2024 21:11,24,5
next week super bowl amp reporting,10/24/2024 21:06,44,2
investing sampp index fund youre investing apple microsoft nvidia google amazon meta berkshire hathaway b tesla,10/24/2024 19:00,152,26
requesting payout end trading day thanks guys best,10/24/2024 18:55,24,0
peeking calendar next week boat load tech earnings plus jobs report pce index,10/24/2024 16:33,28,1
three major us wireless carriers saw declines phone upgrade rate third quarter versus prior year ai said,10/24/2024 14:40,21,6
red red sunk red theee companies nearly entire us gdp welcome stock market,10/24/2024 14:24,24,1
monster bear setup ready nuke entire market think favorite bear setup entire market honestly,10/24/2024 6:57,26,3
next product rabbit tim crook going take,10/24/2024 1:01,30,4
companies people use regular basis,10/23/2024 22:51,52,5
visual intelligence apple intelligence devices iphone series,10/23/2024 22:46,24,0
sampp companies year return b,10/23/2024 22:07,17,1
