date,text
2024-11-04 17:37,"You know what Musk DOES choose at random?

The numbers on $TSLA's quarterly financial statements, lol."
2024-11-04 16:47,"Do you think $TSLA stock will drop if Harris wins the election?
$TSLL $TSLY 

#Elections"
2024-11-04 16:35,$TSLA update drops on Wednesday.
2024-11-04 16:33,"if $TSLA hits $420 next week, everyone gets a blueberry muffin from me"
2024-11-04 16:17,"$TSLA this area right here will be a good one to sell puts. Not buy calls but sell puts. Can go heavy if you want. It may drop hard, but will recover hard if it drops. Now 248."
2024-11-04 16:09,"If I had to 🔮🎯🐒, $TSLA will close right where we opened and have an indecision candle for the day going into tomorrow. 

We opened at 244.54 and are now above it by almost the same amount that we were down, that is not normal considering the max uncertainty.

The bears are"
2024-11-04 15:52,$TSLA rather powerful 10 point reversal off lows.
2024-11-04 15:51,"$TSLA FSD is a generalised autonomous driving solution for any situation on any road using neural networks… 

Waymo Driver is an autonomous driving service that can operate on some pre-mapped roads using LiDAR…

Apparently some EV “experts” still don’t understand this… 🤷‍♂️"
2024-11-04 15:48,"Assuming an average commute of 30 minutes each way, and with 2 billion people commuting globally, humanity loses roughly 2 billion hours of productivity EVERY SINGLE DAY. 

This makes $TSLA's Full Self-Driving (FSD) technology incredibly important. 

@elonmusk"
2024-11-04 15:46,"VIX down quite a bit, $TSLA lower, $FSLR higher, $FXI higher... Hell its like the market decided Harris won the election and its over."
2024-11-04 15:41,$TSLA up 3 from that 244 support level.. TSLA can see 258 this week if theres a positive reaction to the election + FOMC 🚀
2024-11-04 15:36,"I’m back!!🩷 you miss me?
$SPX $5740 🔑 
4 successful $SPX plays and $TSLA calls off the bottom ✅ 
Good to be back❤️"
2024-11-04 15:35,"$CCJ $URNM $TSLA 

This regulatory issue for doing a nuclear facility for Amazon that is putting pressure on nuclear stocks was something I had forecasted in a brief discussion with a friend who used to be a portfolio manager. He thinks the regulatory hurdles will be harder than"
2024-11-04 15:29,"Tomorrow night is like an earnings report for $TSLA $MSTR $FSLR and a few others.

If you’re trading these names you’re gambling which is ok for fun but heavy size into binary events is for noobs. You win one, feel like a genius, then blow up the next time.

~risk management~"
2024-11-04 15:20,$TSLA WITH the fake breakdown to tease bears gap fill
2024-11-04 15:09,"$TSLA dip bought up today at 238.. If it can hold 244 we can see 250-252 leading into FOMC on Wednesday. Calls can work above 244

$SPX dip bought up above 5700.. 5767 important level to reclaim to set up for another 60-80 pt pop higher above FOMC

$META held that 563 so far,"
2024-11-04 15:09,"$TSLA I think at least 1 more low &lt; 239 this morning will be made. Possibly 2 more lows but the 2nd one not guaranteed.

Invalidation: 250 trades first"
2024-11-04 15:03,$TSLA 5 point bounce off lows and up to 13K of those Nov. 267.5 calls bought now
